short_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name,nationality_name,year,leaguePos
A. Tsoungui,"CB, CDM",60,600000,2000,18,Brighton & Hove Albion,English Premier League,Belgium,2022,16
O. Offiah,"CB, RB",59,575000,2000,18,Brighton & Hove Albion,English Premier League,England,2022,16
Z. Emmerson,"CF, ST",55,325000,2000,16,Brighton & Hove Albion,English Premier League,England,2022,16
A. Moran,CAM,58,650000,1000,17,Brighton & Hove Albion,English Premier League,Republic of Ireland,2022,16
J. Tarkowski,CB,79,14000000,39000,26,Burnley,English Premier League,England,2020,15
N. Pope,GK,79,11000000,32000,27,Burnley,English Premier League,England,2020,15
S. Defour,CM,78,9000000,39000,31,Burnley,English Premier League,Belgium,2020,15
A. Barnes,ST,78,10500000,44000,29,Burnley,English Premier League,England,2020,15
B. Mee,CB,78,8500000,37000,29,Burnley,English Premier League,England,2020,15
J. Guðmundsson,"RM, LM",78,10500000,41000,28,Burnley,English Premier League,Iceland,2020,15
J. Hart,GK,77,5500000,27000,32,Burnley,English Premier League,England,2020,15
D. Drinkwater,CM,77,8500000,90000,29,Burnley,English Premier League,England,2020,15
A. Westwood,CM,77,8500000,38000,29,Burnley,English Premier League,England,2020,15
C. Wood,ST,77,10500000,40000,27,Burnley,English Premier League,New Zealand,2020,15
J. Cork,CM,76,7000000,34000,30,Burnley,English Premier League,England,2020,15
J. Rodriguez,"ST, LW",76,7500000,38000,29,Burnley,English Premier League,England,2020,15
R. Brady,LM,76,8000000,34000,27,Burnley,English Premier League,Republic of Ireland,2020,15
C. Taylor,LB,76,8500000,30000,25,Burnley,English Premier League,England,2020,15
M. Lowton,RB,75,5500000,30000,30,Burnley,English Premier League,England,2020,15
J. Hendrick,"RM, CAM, CM",75,7000000,32000,27,Burnley,English Premier League,Republic of Ireland,2020,15
A. Lennon,"RM, LM",74,4400000,30000,32,Burnley,English Premier League,England,2020,15
B. Gibson,CB,74,6500000,27000,26,Burnley,English Premier League,England,2020,15
D. McNeil,LM,74,9500000,17000,19,Burnley,English Premier League,England,2020,15
E. Pieters,"LB, LWB",73,3200000,25000,30,Burnley,English Premier League,Netherlands,2020,15
K. Long,CB,73,3900000,26000,28,Burnley,English Premier League,Republic of Ireland,2020,15
M. Vydra,CAM,73,4600000,28000,27,Burnley,English Premier League,Czech Republic,2020,15
P. Bardsley,RB,72,1100000,22000,34,Burnley,English Premier League,Scotland,2020,15
B. Peacock-Farrell,GK,69,1300000,10000,22,Burnley,English Premier League,Northern Ireland,2020,15
J. Dunne,CB,68,1300000,9000,21,Burnley,English Premier League,Republic of Ireland,2020,15
A. Legzdins,GK,64,275000,6000,32,Burnley,English Premier League,England,2020,15
A. Phillips,CM,62,475000,5000,21,Burnley,English Premier League,England,2020,15
J. Benson,CM,62,525000,4000,19,Burnley,English Premier League,England,2020,15
A. Koiki,LB,60,275000,3000,19,Burnley,English Premier League,England,2020,15
R. Harker,ST,57,220000,4000,19,Burnley,English Premier League,England,2020,15
R. Cooney,RB,57,130000,3000,19,Burnley,English Premier League,England,2020,15
A. Driscoll-Glennon,"LB, CB",56,150000,3000,19,Burnley,English Premier League,England,2020,15
G. McMahon,GK,53,110000,1000,19,Burnley,English Premier League,England,2020,15
N. Pope,GK,82,24000000,59000,28,Burnley,English Premier League,England,2021,10
J. Tarkowski,CB,80,21000000,59000,27,Burnley,English Premier League,England,2021,10
B. Mee,CB,79,14500000,56000,30,Burnley,English Premier League,England,2021,10
A. Westwood,CDM,78,12000000,51000,30,Burnley,English Premier League,England,2021,10
C. Wood,ST,78,14500000,63000,28,Burnley,English Premier League,New Zealand,2021,10
D. McNeil,LM,78,31000000,41000,20,Burnley,English Premier League,England,2021,10
J. Cork,CDM,77,7500000,48000,31,Burnley,English Premier League,England,2021,10
A. Barnes,ST,77,10500000,57000,30,Burnley,English Premier League,England,2021,10
J. Guðmundsson,"RM, LM",77,10500000,54000,29,Burnley,English Premier League,Iceland,2021,10
C. Taylor,LB,77,11500000,48000,26,Burnley,English Premier League,England,2021,10
J. Rodriguez,ST,76,7500000,53000,30,Burnley,English Premier League,England,2021,10
M. Lowton,RB,75,4100000,42000,31,Burnley,English Premier League,England,2021,10
R. Brady,"LM, RM",75,5500000,48000,28,Burnley,English Premier League,Republic of Ireland,2021,10
E. Pieters,LB,74,3100000,39000,31,Burnley,English Premier League,Netherlands,2021,10
P. Bardsley,RB,73,925000,26000,35,Burnley,English Premier League,Scotland,2021,10
M. Vydra,"CF, CAM",73,3100000,44000,28,Burnley,English Premier League,Czech Republic,2021,10
J. Brownhill,"CM, CDM",72,3700000,30000,24,Burnley,English Premier League,England,2021,10
K. Long,CB,71,1600000,29000,29,Burnley,English Premier League,Republic of Ireland,2021,10
B. Peacock-Farrell,GK,69,2700000,14000,23,Burnley,English Premier League,Northern Ireland,2021,10
J. Dunne,CB,67,1500000,13000,22,Burnley,English Premier League,Republic of Ireland,2021,10
W. Norris,GK,65,675000,9000,26,Burnley,English Premier League,England,2021,10
A. Koiki,LB,62,925000,6000,20,Burnley,English Premier League,England,2021,10
J. Benson,"CDM, CM",62,900000,6000,20,Burnley,English Premier League,England,2021,10
A. Glennon,"LB, CB",61,675000,6000,20,Burnley,English Premier League,England,2021,10
M. Thompson,ST,61,775000,4000,18,Burnley,English Premier League,England,2021,10
M. Goodridge,CM,60,550000,6000,20,Burnley,English Premier League,England,2021,10
B. Thomas,CB,58,500000,4000,19,Burnley,English Premier League,England,2021,10
R. Harker,ST,57,425000,6000,20,Burnley,English Premier League,England,2021,10
J. Mumbongo,ST,57,375000,6000,21,Burnley,English Premier League,Sweden,2021,10
M. Elva-Fountaine,"RB, RWB",54,240000,3000,19,Burnley,English Premier League,England,2021,10
C. Wood,ST,79,17500000,48000,29,Burnley,English Premier League,New Zealand,2022,17
J. Tarkowski,CB,81,24500000,46000,28,Burnley,English Premier League,England,2022,17
N. Pope,GK,83,25000000,45000,29,Burnley,English Premier League,England,2022,17
B. Mee,CB,79,12000000,39000,31,Burnley,English Premier League,England,2022,17
A. Westwood,"CDM, CM",78,10000000,36000,31,Burnley,English Premier League,England,2022,17
A. Barnes,ST,75,4800000,35000,31,Burnley,English Premier League,England,2022,17
M. Vydra,"CF, CAM, ST",74,4200000,34000,29,Burnley,English Premier League,Czech Republic,2022,17
J. Brownhill,"CM, RM",76,10000000,33000,25,Burnley,English Premier League,England,2022,17
J. Rodriguez,ST,74,3600000,33000,31,Burnley,English Premier League,England,2022,17
J. Guðmundsson,"RM, LM",75,5500000,32000,30,Burnley,English Premier League,Iceland,2022,17
J. Cork,"CDM, CM",76,5000000,31000,32,Burnley,English Premier League,England,2022,17
M. Lowton,RB,76,5000000,31000,32,Burnley,English Premier League,England,2022,17
C. Taylor,LB,76,8000000,31000,27,Burnley,English Premier League,England,2022,17
C. Roberts,"RWB, RB",75,7000000,28000,25,Burnley,English Premier League,Wales,2022,17
A. Lennon,"RM, LM",73,1400000,28000,34,Burnley,English Premier League,England,2022,17
D. McNeil,LM,77,17000000,27000,21,Burnley,English Premier League,England,2022,17
E. Pieters,"LB, LM",74,2900000,27000,32,Burnley,English Premier League,Netherlands,2022,17
M. Cornet,"LB, LW",75,7000000,25000,24,Burnley,English Premier League,Côte d'Ivoire,2022,17
D. Stephens,"CDM, CM",73,2000000,25000,32,Burnley,English Premier League,England,2022,17
W. Hennessey,GK,74,725000,22000,34,Burnley,English Premier League,Wales,2022,17
K. Long,CB,71,1500000,20000,30,Burnley,English Premier League,Republic of Ireland,2022,17
P. Bardsley,RB,71,425000,14000,36,Burnley,English Premier League,Scotland,2022,17
N. Collins,"CB, RB",71,3800000,14000,20,Burnley,English Premier League,Republic of Ireland,2022,17
W. Norris,GK,65,650000,6000,27,Burnley,English Premier League,England,2022,17
R. Harker,ST,58,450000,5000,21,Burnley,English Premier League,England,2022,17
A. Glennon,LB,62,850000,4000,21,Burnley,English Premier League,England,2022,17
B. Thomas,CB,61,750000,4000,20,Burnley,English Premier League,England,2022,17
A. Gomez Mancini,"CM, CAM",60,600000,4000,20,Burnley,English Premier League,France,2022,17
M. Thompson,"ST, RM",60,600000,4000,19,Burnley,English Premier League,England,2022,17
J. Bedeau,CB,59,525000,4000,21,Burnley,English Premier League,England,2022,17
M. Helm,"CAM, CM",58,475000,3000,19,Burnley,English Premier League,England,2022,17
L. Richardson,ST,61,775000,2000,18,Burnley,English Premier League,England,2022,17
O. Dodgson,"LB, LM",56,325000,1000,18,Burnley,English Premier League,England,2022,17
N. Kanté,"CDM, CM",89,66000000,230000,28,Chelsea,English Premier League,France,2020,3
Azpilicueta,"RB, CB",84,25500000,145000,29,Chelsea,English Premier League,Spain,2020,3
Kepa,GK,84,31000000,90000,24,Chelsea,English Premier League,Spain,2020,3
Jorginho,"CM, CDM",83,29000000,135000,27,Chelsea,English Premier League,Italy,2020,3
O. Giroud,ST,82,17500000,135000,32,Chelsea,English Premier League,France,2020,3
Willian,"RW, LW",82,21000000,135000,30,Chelsea,English Premier League,Brazil,2020,3
Pedro,"RW, LW",82,19500000,135000,31,Chelsea,English Premier League,Spain,2020,3
A. Rüdiger,CB,82,24000000,115000,26,Chelsea,English Premier League,Germany,2020,3
M. Kovačić,CM,82,29000000,120000,25,Chelsea,English Premier League,Croatia,2020,3
Marcos Alonso,"LB, LWB",81,15000000,110000,28,Chelsea,English Premier League,Spain,2020,3
K. Zouma,CB,80,17500000,85000,24,Chelsea,English Premier League,France,2020,3
A. Christensen,CB,80,19000000,85000,23,Chelsea,English Premier League,Denmark,2020,3
T. Bakayoko,"CDM, CM",80,18000000,85000,24,Chelsea,English Premier League,France,2020,3
R. Barkley,"CAM, CM",79,16000000,100000,25,Chelsea,English Premier League,England,2020,3
M. Batshuayi,ST,79,16000000,105000,25,Chelsea,English Premier League,Belgium,2020,3
R. Loftus-Cheek,"CM, LM",79,17000000,89000,23,Chelsea,English Premier League,England,2020,3
D. Zappacosta,"RB, RWB",79,12500000,95000,27,Chelsea,English Premier League,Italy,2020,3
C. Pulisic,"LW, RW",79,18000000,85000,20,Chelsea,English Premier League,United States,2020,3
M. van Ginkel,CM,77,10500000,87000,26,Chelsea,English Premier League,Netherlands,2020,3
Emerson,"LB, LM",77,10500000,68000,24,Chelsea,English Premier League,Italy,2020,3
T. Abraham,ST,76,12000000,67000,21,Chelsea,English Premier League,England,2020,3
W. Caballero,GK,75,675000,37000,37,Chelsea,English Premier League,Argentina,2020,3
Kenedy,LM,75,9500000,67000,23,Chelsea,English Premier League,Brazil,2020,3
M. Mount,"CAM, CM",75,11500000,57000,20,Chelsea,English Premier League,England,2020,3
A. Baba,LB,74,6500000,56000,24,Chelsea,English Premier League,Ghana,2020,3
C. Hudson-Odoi,"RW, LW",74,11500000,31000,18,Chelsea,English Premier League,England,2020,3
R. James,"RB, CDM",73,7000000,32000,19,Chelsea,English Premier League,England,2020,3
M. Hector,CB,72,3300000,53000,26,Chelsea,English Premier League,Jamaica,2020,3
Lucas Piazon,"RW, LW, LM",72,3800000,61000,25,Chelsea,English Premier League,Brazil,2020,3
F. Tomori,CB,72,4900000,38000,21,Chelsea,English Premier League,England,2020,3
J. Blackman,GK,69,1000000,26000,25,Chelsea,English Premier League,England,2020,3
B. Gilmour,"CM, CAM",62,675000,5000,18,Chelsea,English Premier League,Scotland,2020,3
J. Cumming,GK,54,120000,4000,19,Chelsea,English Premier League,England,2020,3
N. Kanté,"CDM, CM",88,78000000,190000,29,Chelsea,English Premier League,France,2021,4
Thiago Silva,CB,85,14500000,95000,35,Chelsea,English Premier League,Brazil,2021,4
H. Ziyech,"CAM, RW",85,62000000,140000,27,Chelsea,English Premier League,Morocco,2021,4
T. Werner,ST,85,74500000,135000,24,Chelsea,English Premier League,Germany,2021,4
K. Havertz,"CAM, RM, CF",85,121000000,105000,21,Chelsea,English Premier League,Germany,2021,4
Azpilicueta,"RB, LB",84,36500000,120000,30,Chelsea,English Premier League,Spain,2021,4
Jorginho,"CM, CDM",83,36500000,125000,28,Chelsea,English Premier League,Italy,2021,4
M. Kovačić,"CM, CDM",83,47000000,120000,26,Chelsea,English Premier League,Croatia,2021,4
Kepa,GK,82,33500000,76000,25,Chelsea,English Premier League,Spain,2021,4
Marcos Alonso,"LB, LWB",81,22500000,95000,29,Chelsea,English Premier League,Spain,2021,4
A. Rüdiger,CB,81,27500000,90000,27,Chelsea,English Premier League,Germany,2021,4
C. Pulisic,"LW, RW, LM",81,41500000,83000,21,Chelsea,English Premier League,United States,2021,4
B. Chilwell,LB,81,34500000,79000,23,Chelsea,English Premier League,England,2021,4
K. Zouma,CB,80,25000000,82000,25,Chelsea,English Premier League,France,2021,4
M. Mount,"CAM, CM, LW",80,43000000,70000,21,Chelsea,English Premier League,England,2021,4
O. Giroud,ST,79,11000000,95000,33,Chelsea,English Premier League,France,2021,4
Emerson,LB,79,21500000,77000,25,Chelsea,English Premier League,Italy,2021,4
A. Christensen,CB,79,24000000,70000,24,Chelsea,English Premier League,Denmark,2021,4
T. Bakayoko,"CDM, CM",79,20000000,77000,25,Chelsea,English Premier League,France,2021,4
V. Moses,"RM, RWB",78,14000000,84000,29,Chelsea,English Premier League,Nigeria,2021,4
R. Barkley,"CM, CAM",78,18000000,81000,26,Chelsea,English Premier League,England,2021,4
R. Loftus-Cheek,CM,78,22000000,70000,24,Chelsea,English Premier League,England,2021,4
T. Abraham,ST,78,29000000,77000,22,Chelsea,English Premier League,England,2021,4
R. James,"RB, CDM",77,22000000,49000,20,Chelsea,English Premier League,England,2021,4
F. Tomori,CB,76,15500000,55000,22,Chelsea,English Premier League,England,2021,4
W. Caballero,GK,75,625000,32000,38,Chelsea,English Premier League,Argentina,2021,4
M. van Ginkel,CM,75,6500000,67000,27,Chelsea,English Premier League,Netherlands,2021,4
A. Baba,LB,75,7000000,58000,25,Chelsea,English Premier League,Ghana,2021,4
M. Sarr,"CB, LB",75,7500000,44000,21,Chelsea,English Premier League,France,2021,4
C. Hudson-Odoi,"RW, LW",74,10000000,41000,19,Chelsea,English Premier League,England,2021,4
D. Drinkwater,CM,73,2900000,57000,30,Chelsea,English Premier League,England,2021,4
M. Miazga,CB,71,2700000,35000,24,Chelsea,English Premier League,United States,2021,4
B. Gilmour,"CM, CAM",71,4400000,25000,19,Chelsea,English Premier League,Scotland,2021,4
R. Lukaku,ST,88,93500000,260000,28,Chelsea,English Premier League,Belgium,2022,4
N. Kanté,"CDM, CM",90,100000000,230000,30,Chelsea,English Premier League,France,2022,4
Jorginho,"CM, CDM",85,52500000,170000,29,Chelsea,English Premier League,Italy,2022,4
H. Ziyech,"RW, CAM",84,42500000,170000,28,Chelsea,English Premier League,Morocco,2022,4
T. Werner,"ST, LW",84,56500000,155000,25,Chelsea,English Premier League,Germany,2022,4
M. Kovačić,"CM, CDM",83,41500000,135000,27,Chelsea,English Premier League,Croatia,2022,4
K. Havertz,"CAM, CF, CM",84,94500000,130000,22,Chelsea,English Premier League,Germany,2022,4
A. Rüdiger,CB,83,34500000,130000,28,Chelsea,English Premier League,Germany,2022,4
Azpilicueta,"CB, RWB",83,25000000,125000,31,Chelsea,English Premier League,Spain,2022,4
M. Mount,"CAM, CM, RW",83,58500000,120000,22,Chelsea,English Premier League,England,2022,4
C. Pulisic,"LW, RW, LM",82,49000000,120000,22,Chelsea,English Premier League,United States,2022,4
Thiago Silva,CB,85,9500000,105000,36,Chelsea,English Premier League,Brazil,2022,4
É. Mendy,GK,83,30000000,105000,29,Chelsea,English Premier League,Senegal,2022,4
B. Chilwell,"LWB, LB",82,40500000,100000,24,Chelsea,English Premier League,England,2022,4
A. Christensen,CB,80,28000000,95000,25,Chelsea,English Premier League,Denmark,2022,4
Marcos Alonso,"LWB, LB",79,15000000,95000,30,Chelsea,English Premier League,Spain,2022,4
R. Barkley,"CAM, CM",78,16000000,95000,27,Chelsea,English Premier League,England,2022,4
R. James,"RWB, RB",81,37000000,76000,21,Chelsea,English Premier League,England,2022,4
Kepa,GK,79,19000000,76000,26,Chelsea,English Premier League,Spain,2022,4
R. Loftus-Cheek,"RM, CAM",75,7500000,74000,25,Chelsea,English Premier League,England,2022,4
C. Hudson-Odoi,"RW, LW",77,23000000,72000,20,Chelsea,English Premier League,England,2022,4
Saúl,"CM, LM",82,39500000,68000,26,Chelsea,English Premier League,Spain,2022,4
M. Sarr,"CB, LB",74,5500000,56000,22,Chelsea,English Premier League,France,2022,4
C. Musonda,"RM, LM",72,3200000,51000,24,Chelsea,English Premier League,Belgium,2022,4
T. Chalobah,"CB, CDM, CM",73,5500000,43000,21,Chelsea,English Premier League,England,2022,4
L. Baker,"CDM, CAM, CM",70,2000000,41000,26,Chelsea,English Premier League,England,2022,4
M. Bettinelli,GK,71,1600000,40000,29,Chelsea,English Premier League,England,2022,4
T. Uwakwe,LWB,63,1100000,11000,21,Chelsea,English Premier League,England,2022,4
G. McEachran,"CM, CDM",60,600000,10000,20,Chelsea,English Premier League,England,2022,4
J. Russell,CM,59,500000,10000,20,Chelsea,English Premier League,England,2022,4
S. McClelland,CB,55,300000,6000,19,Chelsea,English Premier League,Northern Ireland,2022,4
J. Brooking,"CB, RB",59,575000,3000,18,Chelsea,English Premier League,England,2022,4
L. Bergström,GK,54,275000,1000,18,Chelsea,English Premier League,Finland,2022,4
W. Zaha,"CF, LM, LW",83,32000000,89000,26,Crystal Palace,English Premier League,Côte d'Ivoire,2020,12
L. Milivojević,"CDM, CM",81,17500000,66000,28,Crystal Palace,English Premier League,Serbia,2020,12
M. Sakho,CB,79,12000000,59000,29,Crystal Palace,English Premier League,France,2020,12
Guaita,GK,79,7500000,45000,32,Crystal Palace,English Premier League,Spain,2020,12
J. Tomkins,CB,78,8500000,51000,30,Crystal Palace,English Premier League,England,2020,12
A. Townsend,"RM, ST, RW",78,11000000,56000,27,Crystal Palace,English Premier League,England,2020,12
M. Meyer,"CM, LM",78,13500000,48000,23,Crystal Palace,English Premier League,Germany,2020,12
G. Cahill,CB,77,4200000,48000,33,Crystal Palace,English Premier League,England,2020,12
J. McArthur,"CM, RM",76,6500000,49000,31,Crystal Palace,English Premier League,Scotland,2020,12
P. van Aanholt,LB,76,6500000,46000,28,Crystal Palace,English Premier League,Netherlands,2020,12
C. Kouyaté,"CDM, CM",76,6500000,46000,29,Crystal Palace,English Premier League,Senegal,2020,12
Camarasa,"CM, RM, CAM",76,10000000,22000,25,Crystal Palace,English Premier League,Spain,2020,12
S. Dann,CB,75,4300000,42000,32,Crystal Palace,English Premier League,England,2020,12
W. Hennessey,GK,75,4000000,34000,32,Crystal Palace,English Premier League,Wales,2020,12
M. Kelly,"CB, RB, LB",75,6500000,44000,29,Crystal Palace,English Premier League,England,2020,12
C. Benteke,ST,75,7000000,52000,28,Crystal Palace,English Premier League,Belgium,2020,12
J. McCarthy,"CDM, CM",75,6000000,44000,28,Crystal Palace,English Premier League,Republic of Ireland,2020,12
J. Ayew,ST,75,7000000,50000,27,Crystal Palace,English Premier League,Ghana,2020,12
J. Schlupp,"LM, CM, LB",74,6500000,43000,26,Crystal Palace,English Premier League,Ghana,2020,12
J. Ward,"RB, LB",73,3300000,38000,29,Crystal Palace,English Premier League,England,2020,12
J. Riedewald,"CB, CDM",72,3500000,27000,22,Crystal Palace,English Premier League,Netherlands,2020,12
C. Wickham,"ST, LM",70,2200000,29000,26,Crystal Palace,English Premier League,England,2020,12
S. Henderson,GK,66,425000,10000,31,Crystal Palace,English Premier League,Republic of Ireland,2020,12
J. Jach,CB,66,800000,12000,25,Crystal Palace,English Premier League,Poland,2020,12
R. Inniss,CB,65,675000,10000,24,Crystal Palace,English Premier League,England,2020,12
L. Dreher,CM,59,350000,6000,20,Crystal Palace,English Premier League,England,2020,12
N. Kirby,"CAM, LM",59,325000,4000,19,Crystal Palace,English Premier League,England,2020,12
J. Daly,"ST, LM",59,325000,5000,19,Crystal Palace,English Premier League,England,2020,12
J. Lokilo,RM,58,275000,6000,20,Crystal Palace,English Premier League,Congo DR,2020,12
K. Flanagan,"CAM, CM",58,275000,4000,19,Crystal Palace,English Premier League,Republic of Ireland,2020,12
G. McGregor,CM,58,275000,6000,20,Crystal Palace,English Premier League,England,2020,12
S. Woods,CB,57,210000,5000,20,Crystal Palace,English Premier League,England,2020,12
N. Tavares,CB,55,140000,5000,20,Crystal Palace,English Premier League,Croatia,2020,12
W. Zaha,"LM, CF",83,38500000,82000,27,Crystal Palace,English Premier League,Côte d'Ivoire,2021,14
Guaita,GK,80,7000000,48000,33,Crystal Palace,English Premier League,Spain,2021,14
L. Milivojević,"CDM, CM",79,15000000,59000,29,Crystal Palace,English Premier League,Serbia,2021,14
M. Batshuayi,ST,78,18500000,88000,26,Crystal Palace,English Premier League,Belgium,2021,14
G. Cahill,CB,77,3400000,48000,34,Crystal Palace,English Premier League,England,2021,14
P. van Aanholt,LB,77,9500000,50000,29,Crystal Palace,English Premier League,Netherlands,2021,14
C. Kouyaté,"CDM, CM",77,9000000,48000,30,Crystal Palace,English Premier League,Senegal,2021,14
A. Townsend,"RM, ST",77,10500000,54000,28,Crystal Palace,English Premier League,England,2021,14
J. Ayew,"ST, RM",77,11000000,59000,28,Crystal Palace,English Premier League,Ghana,2021,14
J. Tomkins,CB,76,5000000,44000,31,Crystal Palace,English Premier League,England,2021,14
M. Sakho,CB,76,6000000,44000,30,Crystal Palace,English Premier League,France,2021,14
J. Ward,RB,76,6500000,44000,30,Crystal Palace,English Premier League,England,2021,14
J. McCarthy,"CDM, CM",76,6500000,46000,29,Crystal Palace,English Premier League,Republic of Ireland,2021,14
M. Meyer,"LM, CM",76,10000000,42000,24,Crystal Palace,English Premier League,Germany,2021,14
W. Hennessey,GK,75,1800000,34000,33,Crystal Palace,English Premier League,Wales,2021,14
J. McArthur,CM,75,4400000,46000,32,Crystal Palace,English Premier League,Scotland,2021,14
M. Kelly,"CB, RB",75,4600000,42000,30,Crystal Palace,English Premier League,England,2021,14
E. Eze,"CAM, LM",75,12500000,40000,22,Crystal Palace,English Premier League,England,2021,14
J. Schlupp,"LM, CM, LB",74,4500000,43000,27,Crystal Palace,English Premier League,Ghana,2021,14
S. Dann,CB,73,1500000,36000,33,Crystal Palace,English Premier League,England,2021,14
C. Benteke,ST,72,2300000,39000,29,Crystal Palace,English Premier League,Belgium,2021,14
J. Riedewald,"CB, LB",71,2300000,24000,23,Crystal Palace,English Premier League,Netherlands,2021,14
C. Wickham,ST,69,1600000,25000,27,Crystal Palace,English Premier League,England,2021,14
N. Ferguson,"RB, LB, CB",69,3200000,11000,19,Crystal Palace,English Premier League,England,2021,14
J. Jach,CB,66,1100000,13000,26,Crystal Palace,English Premier League,Poland,2021,14
S. Henderson,GK,65,350000,9000,32,Crystal Palace,English Premier League,Republic of Ireland,2021,14
R. Inniss,CB,64,650000,10000,25,Crystal Palace,English Premier League,England,2021,14
T. Mitchell,LB,64,1300000,7000,20,Crystal Palace,English Premier League,England,2021,14
N. Kirby,"LM, CAM",60,650000,6000,20,Crystal Palace,English Premier League,England,2021,14
B. Pierrick,"CAM, RM",59,575000,3000,18,Crystal Palace,English Premier League,England,2021,14
G. McGregor,CM,57,400000,6000,21,Crystal Palace,English Premier League,England,2021,14
S. Woods,CB,56,325000,5000,21,Crystal Palace,English Premier League,England,2021,14
N. Tavares,CB,54,250000,5000,21,Crystal Palace,English Premier League,Croatia,2021,14
W. Zaha,"CF, LM, ST",82,31000000,85000,28,Crystal Palace,English Premier League,Côte d'Ivoire,2022,14
C. Gallagher,CM,74,9500000,53000,21,Crystal Palace,English Premier League,England,2022,14
J. Ayew,"ST, RM",75,5500000,52000,29,Crystal Palace,English Premier League,Ghana,2022,14
C. Kouyaté,"CB, CDM",78,9500000,51000,31,Crystal Palace,English Premier League,Senegal,2022,14
C. Benteke,ST,75,5500000,50000,30,Crystal Palace,English Premier League,Belgium,2022,14
W. Hughes,"CM, CDM",76,9000000,49000,26,Crystal Palace,English Premier League,England,2022,14
Guaita,GK,80,3600000,48000,34,Crystal Palace,English Premier League,Spain,2022,14
J. Schlupp,"LM, CM",75,5500000,48000,28,Crystal Palace,English Premier League,Ghana,2022,14
J. McArthur,"CM, CDM",75,3500000,46000,33,Crystal Palace,English Premier League,Scotland,2022,14
J. Andersen,CB,77,12500000,45000,25,Crystal Palace,English Premier League,Denmark,2022,14
E. Eze,"LM, CAM",77,16500000,45000,23,Crystal Palace,English Premier League,England,2022,14
L. Milivojević,"CDM, CM",76,6500000,44000,30,Crystal Palace,English Premier League,Serbia,2022,14
O. Edouard,ST,75,12500000,44000,23,Crystal Palace,English Premier League,France,2022,14
J. Tomkins,CB,75,3600000,42000,32,Crystal Palace,English Premier League,England,2022,14
N. Clyne,RB,75,4800000,42000,30,Crystal Palace,English Premier League,England,2022,14
M. Kelly,"CB, RB",74,2900000,39000,31,Crystal Palace,English Premier League,England,2022,14
J. Ward,RB,74,3100000,39000,31,Crystal Palace,English Premier League,England,2022,14
J. Riedewald,"CDM, CB",75,7000000,36000,24,Crystal Palace,English Premier League,Netherlands,2022,14
J. Butland,GK,73,2400000,31000,28,Crystal Palace,English Premier League,England,2022,14
M. Guéhi,CB,73,6000000,26000,20,Crystal Palace,English Premier League,England,2022,14
J. Mateta,ST,75,8500000,22000,24,Crystal Palace,English Premier League,France,2022,14
M. Olise,"CAM, RM, LM",73,7000000,22000,19,Crystal Palace,English Premier League,France,2022,14
T. Mitchell,LB,71,4000000,20000,21,Crystal Palace,English Premier League,England,2022,14
N. Ferguson,"RB, LB",69,2900000,15000,20,Crystal Palace,English Premier League,England,2022,14
J. Jach,CB,64,675000,10000,27,Crystal Palace,English Premier League,Poland,2022,14
R. Matthews,GK,65,650000,9000,27,Crystal Palace,English Premier League,England,2022,14
J. Montes,CM,57,325000,7000,22,Crystal Palace,English Premier League,United States,2022,14
R. Street,"ST, CAM",61,775000,6000,19,Crystal Palace,English Premier League,England,2022,14
N. Kirby,"LM, CAM",60,600000,6000,21,Crystal Palace,English Premier League,England,2022,14
R. Hannam,LB,53,240000,5000,20,Crystal Palace,English Premier League,England,2022,14
J. Rak-Sakyi,RW,61,825000,4000,18,Crystal Palace,English Premier League,England,2022,14
S. Banks,LM,59,575000,4000,19,Crystal Palace,English Premier League,Scotland,2022,14
O. Webber,GK,51,130000,3000,21,Crystal Palace,English Premier League,Northern Ireland,2022,14
G. Sigurðsson,CAM,83,25500000,115000,29,Everton,English Premier League,Iceland,2020,8
L. Digne,LB,83,28500000,95000,25,Everton,English Premier League,France,2020,8
J. Pickford,GK,83,24000000,78000,25,Everton,English Premier League,England,2020,8
Bernard,LM,80,16000000,88000,26,Everton,English Premier League,Brazil,2020,8
M. Keane,CB,80,16500000,81000,26,Everton,English Premier League,England,2020,8
André Gomes,"CDM, CM",80,17500000,77000,25,Everton,English Premier League,Portugal,2020,8
S. Coleman,RB,79,10000000,76000,30,Everton,English Premier League,Republic of Ireland,2020,8
A. Iwobi,"LM, LW, RM",79,17000000,73000,23,Everton,English Premier League,Nigeria,2020,8
J. Gbamin,"CDM, CM, CB",79,15500000,65000,23,Everton,English Premier League,Côte d'Ivoire,2020,8
Richarlison,"RM, LM, ST",79,17000000,73000,22,Everton,English Premier League,Brazil,2020,8
K. Mirallas,"LM, LW, ST",78,9000000,76000,31,Everton,English Premier League,Belgium,2020,8
Y. Mina,CB,78,12500000,59000,24,Everton,English Premier League,Colombia,2020,8
T. Walcott,RM,77,8500000,71000,30,Everton,English Premier League,England,2020,8
M. Schneiderlin,"CDM, CM",77,7500000,68000,29,Everton,English Premier League,France,2020,8
F. Delph,"LB, CM",77,7500000,68000,29,Everton,English Premier League,England,2020,8
C. Tosun,ST,77,9000000,80000,28,Everton,English Premier League,Turkey,2020,8
D. Sidibé,RB,77,9000000,34000,26,Everton,English Premier League,France,2020,8
